"SiteID","path","Step1","Step2","Step3","Step4","Step5","Step6","Step7","Step8","Step9","Step10","Step11"
"GRA","GRA","GRA","","","","","","","","","",""
"LAP","GRA.Clearwater.Lapwai.LAP","GRA","Clearwater","Lapwai","LAP","","","","","","",""
"MIS","GRA.Clearwater.Lapwai.LAP.MIS","GRA","Clearwater","Lapwai","LAP","MIS","","","","","",""
"SWT","GRA.Clearwater.Lapwai.LAP.SWT","GRA","Clearwater","Lapwai","LAP","SWT","","","","","",""
"WEB","GRA.Clearwater.Lapwai.LAP.SWT.WEB","GRA","Clearwater","Lapwai","LAP","SWT","WEB","","","","",""
"JUL","GRA.Clearwater.Potlatch.JUL","GRA","Clearwater","Potlatch","JUL","","","","","","",""
"KHS","GRA.Clearwater.Potlatch.JUL.KHS","GRA","Clearwater","Potlatch","JUL","KHS","","","","","",""
"LBEARC","GRA.Clearwater.Potlatch.JUL.KHS.LBEARC","GRA","Clearwater","Potlatch","JUL","KHS","LBEARC","","","","",""
"BIGBEC","GRA.Clearwater.Potlatch.JUL.KHS.BIGBEC","GRA","Clearwater","Potlatch","JUL","KHS","BIGBEC","","","","",""
"HLM","GRA.Clearwater.Potlatch.JUL.HLM","GRA","Clearwater","Potlatch","JUL","HLM","","","","","",""
"POTRWF","GRA.Clearwater.Potlatch.JUL.HLM.POTRWF","GRA","Clearwater","Potlatch","JUL","HLM","POTRWF","","","","",""
"POTREF","GRA.Clearwater.Potlatch.JUL.HLM.POTREF","GRA","Clearwater","Potlatch","JUL","HLM","POTREF","","","","",""
"PCM","GRA.Clearwater.Potlatch.JUL.PCM","GRA","Clearwater","Potlatch","JUL","PCM","","","","","",""
"LC1","GRA.Clearwater.Lolo.LC1","GRA","Clearwater","Lolo","LC1","","","","","","",""
"LC2","GRA.Clearwater.Lolo.LC1.LC2","GRA","Clearwater","Lolo","LC1","LC2","","","","","",""
"LRL","GRA.Clearwater.Lochsa.LRL","GRA","Clearwater","Lochsa","LRL","","","","","","",""
"FISTRP","GRA.Clearwater.Lochsa.LRL.FISTRP","GRA","Clearwater","Lochsa","LRL","FISTRP","","","","","",""
"SC1","GRA.Clearwater.SFClearwater.SC1","GRA","Clearwater","SFClearwater","SC1","","","","","","",""
"SC2","GRA.Clearwater.SFClearwater.SC1.SC2","GRA","Clearwater","SFClearwater","SC1","SC2","","","","","",""
"CROTRP","GRA.Clearwater.SFClearwater.SC1.SC2.CROTRP","GRA","Clearwater","SFClearwater","SC1","SC2","CROTRP","","","","",""
"CRT","GRA.Clearwater.SFClearwater.SC1.SC2.CRT","GRA","Clearwater","SFClearwater","SC1","SC2","CRT","","","","",""
"REDTRP","GRA.Clearwater.SFClearwater.SC1.SC2.REDTRP","GRA","Clearwater","SFClearwater","SC1","SC2","REDTRP","","","","",""
"REDR","GRA.Clearwater.SFClearwater.SC1.SC2.REDR","GRA","Clearwater","SFClearwater","SC1","SC2","REDR","","","","",""
"RRT","GRA.Clearwater.SFClearwater.SC1.SC2.RRT","GRA","Clearwater","SFClearwater","SC1","SC2","RRT","","","","",""
"CLC","GRA.Clearwater.ClearCreek.CLC","GRA","Clearwater","ClearCreek","CLC","","","","","","",""
"KOOS","GRA.Clearwater.ClearCreek.CLC.KOOS","GRA","Clearwater","ClearCreek","CLC","KOOS","","","","","",""
"SW1","GRA.Clearwater.Selway.SW1","GRA","Clearwater","Selway","SW1","","","","","","",""
"LTR","GRA.SW_Washington.Tucannon.LTR","GRA","SW_Washington","Tucannon","LTR","","","","","","",""
"MTR","GRA.SW_Washington.Tucannon.LTR.MTR","GRA","SW_Washington","Tucannon","LTR","MTR","","","","","",""
"UTR","GRA.SW_Washington.Tucannon.LTR.MTR.UTR","GRA","SW_Washington","Tucannon","LTR","MTR","UTR","","","","",""
"TUCH","GRA.SW_Washington.Tucannon.LTR.MTR.UTR.TUCH","GRA","SW_Washington","Tucannon","LTR","MTR","UTR","TUCH","","","",""
"ALMOTC","GRA.SW_Washington.Almota.ALMOTC","GRA","SW_Washington","Almota","ALMOTC","","","","","","",""
"ALPOWC","GRA.SW_Washington.Alpowa.ALPOWC","GRA","SW_Washington","Alpowa","ALPOWC","","","","","","",""
"PENAWC","GRA.SW_Washington.Penawawa.PENAWC","GRA","SW_Washington","Penawawa","PENAWC","","","","","","",""
"TENMC2","GRA.SW_Washington.TenMileCreek.TENMC2","GRA","SW_Washington","TenMileCreek","TENMC2","","","","","","",""
"ACM","GRA.SW_Washington.Asotin.ACM","GRA","SW_Washington","Asotin","ACM","","","","","","",""
"GEORGC","GRA.SW_Washington.Asotin.ACM.GEORGC","GRA","SW_Washington","Asotin","ACM","GEORGC","","","","","",""
"ASOTIC","GRA.SW_Washington.Asotin.ACM.ASOTIC","GRA","SW_Washington","Asotin","ACM","ASOTIC","","","","","",""
"ACB","GRA.SW_Washington.Asotin.ACM.ASOTIC.ACB","GRA","SW_Washington","Asotin","ACM","ASOTIC","ACB","","","","",""
"AFC","GRA.SW_Washington.Asotin.ACM.ASOTIC.ACB.AFC","GRA","SW_Washington","Asotin","ACM","ASOTIC","ACB","AFC","","","",""
"CCA","GRA.SW_Washington.Asotin.ACM.ASOTIC.ACB.CCA","GRA","SW_Washington","Asotin","ACM","ASOTIC","ACB","CCA","","","",""
"JOC","GRA.NE_Oregon.JosephCreek.JOC","GRA","NE_Oregon","JosephCreek","JOC","","","","","","",""
"JOSEPC","GRA.NE_Oregon.JosephCreek.JOC.JOSEPC","GRA","NE_Oregon","JosephCreek","JOC","JOSEPC","","","","","",""
"UGR","GRA.NE_Oregon.GrandeRonde.UpperGrandeRonde.UGR","GRA","NE_Oregon","GrandeRonde","UpperGrandeRonde","UGR","","","","","",""
"GRANDW","GRA.NE_Oregon.GrandeRonde.UpperGrandeRonde.UGR.GRANDW","GRA","NE_Oregon","GrandeRonde","UpperGrandeRonde","UGR","GRANDW","","","","",""
"CCW","GRA.NE_Oregon.GrandeRonde.UpperGrandeRonde.UGR.CCW","GRA","NE_Oregon","GrandeRonde","UpperGrandeRonde","UGR","CCW","","","","",""
"CATHEW","GRA.NE_Oregon.GrandeRonde.UpperGrandeRonde.UGR.CCW.CATHEW","GRA","NE_Oregon","GrandeRonde","UpperGrandeRonde","UGR","CCW","CATHEW","","","",""
"WR1","GRA.NE_Oregon.Wallowa.WR1","GRA","NE_Oregon","Wallowa","WR1","","","","","","",""
"BCANF","GRA.NE_Oregon.Wallowa.WR1.BCANF","GRA","NE_Oregon","Wallowa","WR1","BCANF","","","","","",""
"LOSTIW","GRA.NE_Oregon.Wallowa.WR1.LOSTIW","GRA","NE_Oregon","Wallowa","WR1","LOSTIW","","","","","",""
"WALH","GRA.NE_Oregon.Wallowa.WR1.WALH","GRA","NE_Oregon","Wallowa","WR1","WALH","","","","","",""
"LOOKGC","GRA.NE_Oregon.LookingGlass.LOOKGC","GRA","NE_Oregon","LookingGlass","LOOKGC","","","","","","",""
"COC","GRA.Imnaha.CowCreek.COC","GRA","Imnaha","CowCreek","COC","","","","","","",""
"IR1","GRA.Imnaha.ImnahaRiver.IR1","GRA","Imnaha","ImnahaRiver","IR1","","","","","","",""
"IR2","GRA.Imnaha.ImnahaRiver.IR1.IR2","GRA","Imnaha","ImnahaRiver","IR1","IR2","","","","","",""
"CMP","GRA.Imnaha.ImnahaRiver.IR1.IR2.CMP","GRA","Imnaha","ImnahaRiver","IR1","IR2","CMP","","","","",""
"BSC","GRA.Imnaha.ImnahaRiver.IR1.IR2.BSC","GRA","Imnaha","ImnahaRiver","IR1","IR2","BSC","","","","",""
"LSHEEF","GRA.Imnaha.ImnahaRiver.IR1.IR2.LSHEEF","GRA","Imnaha","ImnahaRiver","IR1","IR2","LSHEEF","","","","",""
"HORS3C","GRA.Imnaha.ImnahaRiver.IR1.IR2.HORS3C","GRA","Imnaha","ImnahaRiver","IR1","IR2","HORS3C","","","","",""
"IR3","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","","","","",""
"CZY","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.CZY","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","CZY","","","",""
"FREEZC","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.FREEZC","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","FREEZC","","","",""
"MAHOGC","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.MAHOGC","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","MAHOGC","","","",""
"IR4","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","","","",""
"IML","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4.IML","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","IML","","",""
"IMNAHW","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4.IML.IMNAHW","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","IML","IMNAHW","",""
"IR5","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4.IML.IMNAHW.IR5","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","IML","IMNAHW","IR5",""
"GUMBTC","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4.IML.IMNAHW.IR5.GUMBTC","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","IML","IMNAHW","IR5","GUMBTC"
"DRY2C","GRA.Imnaha.ImnahaRiver.IR1.IR2.IR3.IR4.IML.IMNAHW.IR5.DRY2C","GRA","Imnaha","ImnahaRiver","IR1","IR2","IR3","IR4","IML","IMNAHW","IR5","DRY2C"
"RAPH","GRA.Salmon.RapidRiver.RAPH","GRA","Salmon","RapidRiver","RAPH","","","","","","",""
"SFG","GRA.Salmon.SFSalmon.SFG","GRA","Salmon","SFSalmon","SFG","","","","","","",""
"ZEN","GRA.Salmon.SFSalmon.SFG.ZEN","GRA","Salmon","SFSalmon","SFG","ZEN","","","","","",""
"LAKEC","GRA.Salmon.SFSalmon.SFG.ZEN.LAKEC","GRA","Salmon","SFSalmon","SFG","ZEN","LAKEC","","","","",""
"KRS","GRA.Salmon.SFSalmon.SFG.KRS","GRA","Salmon","SFSalmon","SFG","KRS","","","","","",""
"STR","GRA.Salmon.SFSalmon.SFG.KRS.STR","GRA","Salmon","SFSalmon","SFG","KRS","STR","","","","",""
"ESS","GRA.Salmon.SFSalmon.SFG.ESS","GRA","Salmon","SFSalmon","SFG","ESS","","","","","",""
"JOHNSC","GRA.Salmon.SFSalmon.SFG.ESS.JOHNSC","GRA","Salmon","SFSalmon","SFG","ESS","JOHNSC","","","","",""
"TAY","GRA.Salmon.BigCreek.TAY","GRA","Salmon","BigCreek","TAY","","","","","","",""
"NFS","GRA.Salmon.NFSalmon.NFS","GRA","Salmon","NFSalmon","NFS","","","","","","",""
"CRC","GRA.Salmon.CarmenCreek.CRC","GRA","Salmon","CarmenCreek","CRC","","","","","","",""
"LLR","GRA.Salmon.Lemhi.LLR","GRA","Salmon","Lemhi","LLR","","","","","","",""
"AGC","GRA.Salmon.Lemhi.LLR.AGC","GRA","Salmon","Lemhi","LLR","AGC","","","","","",""
"KEN","GRA.Salmon.Lemhi.LLR.KEN","GRA","Salmon","Lemhi","LLR","KEN","","","","","",""
"HYC","GRA.Salmon.Lemhi.LLR.HYC","GRA","Salmon","Lemhi","LLR","HYC","","","","","",""
"WPC","GRA.Salmon.Lemhi.LLR.WPC","GRA","Salmon","Lemhi","LLR","WPC","","","","","",""
"BHC","GRA.Salmon.Lemhi.LLR.BHC","GRA","Salmon","Lemhi","LLR","BHC","","","","","",""
"LRW","GRA.Salmon.Lemhi.LLR.LRW","GRA","Salmon","Lemhi","LLR","LRW","","","","","",""
"LLS","GRA.Salmon.Lemhi.LLR.LRW.LLS","GRA","Salmon","Lemhi","LLR","LRW","LLS","","","","",""
"BTL","GRA.Salmon.Lemhi.LLR.LRW.BTL","GRA","Salmon","Lemhi","LLR","LRW","BTL","","","","",""
"BTM","GRA.Salmon.Lemhi.LLR.LRW.BTL.BTM","GRA","Salmon","Lemhi","LLR","LRW","BTL","BTM","","","",""
"BTU","GRA.Salmon.Lemhi.LLR.LRW.BTL.BTM.BTU","GRA","Salmon","Lemhi","LLR","LRW","BTL","BTM","BTU","","",""
"LCL","GRA.Salmon.Lemhi.LLR.LRW.LCL","GRA","Salmon","Lemhi","LLR","LRW","LCL","","","","",""
"LB8","GRA.Salmon.Lemhi.LLR.LRW.LB8","GRA","Salmon","Lemhi","LLR","LRW","LB8","","","","",""
"LBS","GRA.Salmon.Lemhi.LLR.LRW.LBS","GRA","Salmon","Lemhi","LLR","LRW","LBS","","","","",""
"CAC","GRA.Salmon.Lemhi.LLR.LRW.CAC","GRA","Salmon","Lemhi","LLR","LRW","CAC","","","","",""
"18M","GRA.Salmon.Lemhi.LLR.LRW.18M","GRA","Salmon","Lemhi","LLR","LRW","18M","","","","",""
"HEC","GRA.Salmon.Lemhi.LLR.LRW.HEC","GRA","Salmon","Lemhi","LLR","LRW","HEC","","","","",""
"USE","GRA.Salmon.UpperSalmon.USE","GRA","Salmon","UpperSalmon","USE","","","","","","",""
"USI","GRA.Salmon.UpperSalmon.USE.USI","GRA","Salmon","UpperSalmon","USE","USI","","","","","",""
"VC2","GRA.Salmon.UpperSalmon.USE.USI.VC2","GRA","Salmon","UpperSalmon","USE","USI","VC2","","","","",""
"VC1","GRA.Salmon.UpperSalmon.USE.USI.VC2.VC1","GRA","Salmon","UpperSalmon","USE","USI","VC2","VC1","","","",""
"YFK","GRA.Salmon.UpperSalmon.USE.USI.YFK","GRA","Salmon","UpperSalmon","USE","USI","YFK","","","","",""
"STL","GRA.Salmon.UpperSalmon.USE.USI.STL","GRA","Salmon","UpperSalmon","USE","USI","STL","","","","",""
"SALEFT","GRA.Salmon.UpperSalmon.USE.USI.SALEFT","GRA","Salmon","UpperSalmon","USE","USI","SALEFT","","","","",""
"PAHH","GRA.Salmon.UpperSalmon.USE.USI.PAHH","GRA","Salmon","UpperSalmon","USE","USI","PAHH","","","","",""
