spawn_yr,t_species,t_run,t_rear_type,mark_site,rel_site,rrkm,rel_year,n,PBT,tag_ratio,Name
2017,3,2,H,CLWH,CLWRSF,522.224.120.031,2013,1,0,0,
2017,3,2,H,CLWH,CLWRSF,522.224.120.031,2014,34,2716,79.88235294,2013-CLWH-DWOR-RedHouseHole-AdClip
2017,3,2,H,CLWH,CLWRSF,522.224.120.031,2015,4,158,39.5,2014-CLWH-DWOR-RedHouse
2017,3,2,H,CLWH,CLWRSF,522.224.120.031,2016,2,0,0,
2017,3,2,H,CLWH,MEAD2C,522.224.120.053.014,2014,112,,,
2017,3,2,H,CLWH,MEAD2C,522.224.120.053.014,2015,17,,,
2017,3,2,H,CLWH,MEAD2C,522.224.120.053.014,2016,7,,,
2017,3,2,H,CLWH,NEWSOC,522.224.120.084.000,2013,2,0,0,
2017,3,2,H,CLWH,NEWSOC,522.224.120.084.000,2014,17,1350,79.41176471,2013-CLWH-DWOR-NewsomeCr-NoClip
2017,3,2,H,CLWH,NEWSOC,522.224.120.084.000,2015,4,19,4.75,2014-CLWH-DWOR-NewsomeCr
2017,3,2,H,CLWH,NEWSOC,522.224.120.084.000,2016,7,0,0,
2017,3,2,H,DWOR,CLEARC,522.224.120.004,2014,15,,,
2017,3,2,H,DWOR,CLEARC,522.224.120.004,2015,4,,,
2017,3,2,H,DWOR,CLWRSF,522.224.120,2014,34,,,
2017,3,2,H,DWOR,CLWRSF,522.224.120,2015,9,,,
2017,3,2,H,DWOR,CLWRSF,522.224.120,2016,8,,,
2017,3,2,H,DWOR,DWORMS,522.224.065,2013,1,,,
2017,3,2,H,DWOR,DWORMS,522.224.065,2014,185,,,
2017,3,2,H,DWOR,DWORMS,522.224.065,2015,25,,,
2017,3,2,H,DWOR,DWORMS,522.224.065,2016,31,,,
2017,3,2,H,DWOR,LOLOC,522.224.087,2014,46,1692,36.7826087,2013-DWOR-DWOR-LoloCr
2017,3,2,H,DWOR,LOLOC,522.224.087,2016,5,0,0,
2017,3,2,H,HAGE,SALEFT,522.303.552.029,2014,28,,,
2017,3,2,H,HAGE,SALEFT,522.303.552.029,2015,6,,,
2017,3,2,H,HAGE,SALEFT,522.303.552.029,2016,11,,,
2017,3,2,H,HAGE,SAWT,522.303.617,2014,19,,,
2017,3,2,H,HAGE,SAWT,522.303.617,2015,32,,,
2017,3,2,H,HAGE,SAWT,522.303.617,2016,94,,,
2017,3,2,H,IRRI,BCANF,522.271.131.018.001,2014,64,,,
2017,3,2,H,IRRI,BCANF,522.271.131.018.001,2015,11,,,
2017,3,2,H,IRRI,BCANF,522.271.131.018.001,2016,25,,,
2017,3,2,H,IRRI,COTP,522.271.046,2015,8,,,
2017,3,2,H,IRRI,COTP,522.271.046,2016,30,,,
2017,3,2,H,IRRI,LSHEEF,522.308.032.005.008,2014,73,,,
2017,3,2,H,IRRI,LSHEEF,522.308.032.005.008,2015,28,,,
2017,3,2,H,IRRI,LSHEEF,522.308.032.005.008,2016,108,,,
2017,3,2,H,IRRI,LSHEEF,522.308.032.005.008,2017,2,,,
2017,3,2,H,IRRI,PENP,465.09,2014,2,,,
2017,3,2,H,IRRI,WALH,522.271.131.063.001,2014,60,,,
2017,3,2,H,IRRI,WALH,522.271.131.063.001,2015,12,,,
2017,3,2,H,IRRI,WALH,522.271.131.063.001,2016,47,,,
2017,3,2,H,LYFE,COTP,522.271.046,2014,63,,,
2017,3,2,H,LYFE,COTP,522.271.046,2015,24,,,
2017,3,2,H,LYFE,COTP,522.271.046,2016,62,,,
2017,3,2,H,LYFE,DAYP,509.035.087,2014,8,,,
2017,3,2,H,LYFE,DAYP,509.035.087,2015,8,,,
2017,3,2,H,LYFE,DAYP,509.035.087,2016,14,,,
2017,3,2,H,LYFE,LYFE,522.095,2014,8,,,
2017,3,2,H,LYFE,LYFE,522.095,2015,14,,,
2017,3,2,H,LYFE,LYFE,522.095,2016,13,,,
2017,3,2,H,LYFE,TOUCHR,509.035.085,2014,9,,,
2017,3,2,H,LYFE,TUCR,522.100.040,2014,12,,,
2017,3,2,H,LYFE,TUCR,522.100.040,2015,5,,,
2017,3,2,H,LYFE,TUCR,522.100.067,2014,12,,,
2017,3,2,H,LYFE,TUCR,522.100.067,2015,4,,,
2017,3,2,H,LYFE,TUCR,522.100.067,2016,13,,,
2017,3,2,H,LYFE,WALH,522.271.131.063.001,2015,25,,,
2017,3,2,H,LYFE,WALH,522.271.131.063.001,2016,52,,,
2017,3,2,H,LYFE,WALLAR,509.048,2014,6,,,
2017,3,2,H,LYFE,WALLAR,509.048,2015,7,,,
2017,3,2,H,LYFE,WALLAR,509.048,2016,10,,,
2017,3,2,H,LYLFAT,LYLFAT,290.004,2016,1,,,
2017,3,2,H,LYLFAT,LYLFAT,290.004,2017,5,,,
2017,3,2,H,MAVA,LSALR,522.303.140.031,2015,5,,,
2017,3,2,H,MAVA,LSALR,522.303.140.034,2012,1,,,
2017,3,2,H,MAVA,LSALR,522.303.140.034,2013,1,,,
2017,3,2,H,MAVA,LSALR,522.303.140.034,2014,28,,,
2017,3,2,H,MAVA,LSALR,522.303.140.034,2016,15,,,
2017,3,2,H,MAVA,PAHTRP,522.303.489.002,2013,2,,,
2017,3,2,H,MAVA,PAHTRP,522.303.489.002,2014,55,,,
2017,3,2,H,MAVA,PAHTRP,522.303.489.002,2015,4,,,
2017,3,2,H,MAVA,PAHTRP,522.303.489.002,2016,10,,,
2017,3,2,H,MAVA,SALR3,522.303.347,2014,10,,,
2017,3,2,H,MAVA,SALR3,522.303.347,2016,8,,,
2017,3,2,H,MAVA,SALR3,522.303.385,2014,2,,,
2017,3,2,H,MAVA,SALR3,522.303.385,2016,7,,,
2017,3,2,H,MAVA,SALR3,522.303.476,2014,13,,,
2017,3,2,H,MAVA,SALR3,522.303.476,2016,9,,,
2017,3,2,H,MAVA,SQAW2C,522.303.564.001,2014,8,,,
2017,3,2,H,MAVA,SQAW2C,522.303.564.002,2016,3,,,
2017,3,2,H,MAVA,YANKFK,522.303.591.006,2014,11,,,
2017,3,2,H,MAVA,YANKFK,522.303.591.006,2016,5,,,
2017,3,2,H,MAVA,YANKFK,522.303.591.014,2014,26,,,
2017,3,2,H,MAVA,YANKFK,522.303.591.014,2015,2,,,
2017,3,2,H,MAVA,YANKFK,522.303.591.014,2016,4,,,
2017,3,2,H,NISP,LSALR,522.303.140.034,2014,18,,,
2017,3,2,H,NISP,LSALR,522.303.140.034,2015,5,,,
2017,3,2,H,NISP,LSALR,522.303.140.034,2016,12,,,
2017,3,2,H,NISP,PAHTRP,522.303.489.002,2014,43,0,0,
2017,3,2,H,NISP,PAHTRP,522.303.489.002,2015,12,1375,114.5833333,2014-MVFH-PAH
2017,3,2,H,NISP,PAHTRP,522.303.489.002,2016,45,0,0,
2017,3,2,H,NISP,SNAKE4,522.395,2014,59,0,0,
2017,3,2,H,NISP,SNAKE4,522.395,2015,19,"1,081",56.89473684,2014-NIAG-OXBOW
2017,3,2,H,NISP,SNAKE4,522.395,2016,48,51,1.0625,2015-NIAG-OXBOW
2017,3,2,H,PRD,PRDLD1,639,2017,7,,,
2017,3,2,H,PRDLD1,PRDLD1,639,2016,133,,,
2017,3,2,H,PRDLD1,PRDLD1,639,2017,26,,,
2017,3,2,H,WELLD1,WELLD1,830,2016,2,,,
2017,3,2,H,WELLD2,WELLD2,830,2016,1,,,
2017,3,4,H,COLR2,COLR2,0,2017,13,,,
2017,3,4,H,COLR2,COLR2,70,2017,366,,,
2017,3,5,H,LYLFAT,LYLFAT,290.004,2016,1,,,
